,company_name,date_posted,rating,review_title,job_position,job_location,pro_review,con_review
0,NCS,,2.0,30/70,Cloud Engineer,Singapore,"Free training & certs, work life balance, no stress, assigned to projects you cannot choose","No Increment, low bonus, less technical person, more political"
0,NCS,,4.0,Ok,Senior Engineer,Singapore,"Support employee to growth, team work is okay",Sometime challenge to handle customer.
0,NCS,,2.0,High turnover rate due to poor management and poor pay structure,Software Engineer,Singapore,Good stepping stone for fresh graduates to enter IT industry.,Management have poor foresight and planning. Always waiting for issues to happen instead of fixing them directly. Poor pay structure results in newcomers being paid more than those that stayed loyal to company.
0,NCS,,4.0,It was ok,Software Engineer,Singapore,Supportive and good manager and good bonus,"Depends on team, insurance and benefits can be better"
0,NCS,,4.0,Good Start,Software Developer,"Ang Mo Kio New Town,",Get to do various Courses,was advice not too stay too long as not to get too comfortable
0,NCS,,4.0,Good Insurance,Senior Software Engineer,Singapore,Good Insurance which can cover family member,Depends on project. Might not learn much in some project.
0,NCS,,3.0,Not Many benefits,Software Developer,Singapore,Not many to be honest,Poor management Not many benefits
0,NCS,,4.0,Developer,Software Developer,Singapore,"Great colleagues, supervisor for the department I am in is great to work with.",Project that our dept is working on is in a bad state.
0,NCS,,5.0,Amazing Place to meet minds alike,Software Engineer,Singapore,Friendly Environment Good Bosses Depends on Projects,No 13th Months Bonus as it's added into your pay No AWS packages
0,NCS,,2.0,Company does not fit the employee to the correct role,Software Engineer,Singapore,Various gov project to join,Company does not fit the employee to the correct role
0,NCS,,4.0,Bad upper mgmt,Software Engineer,Singapore,Many projects to choose from,Job is ok but upper management keeps putting pressure to keep the wallets thick
0,NCS,,2.0,"Good starting stone, but should leave after a year or two",Cloud Engineer,Singapore,Flexible working environment Good starting stone,Pay increment isn’t good Not appreciated or valued OT a lot without enough compensation
0,NCS,,2.0,Review,Software Engineer,Singapore,Flexible working options. Nice office,"Political, no increments and promotion"
0,NCS,,5.0,Great Platform for Job seekers,Senior Software Engineer,Singapore,"It offers the following, - the collaborative and inclusive work culture - opportunities for professional growth and - a strong focus on work-life balance.",I don't have any downsides so far.
0,NCS,,5.0,Best organization,Application Engineer,"Ang Mo Kio New Town,",Best practices Fun n work Work life balance,No prob Not applicable Doesn't have any complain
0,NCS,,3.0,Employment,Software Engineer,Singapore,Flexible working hours and locations,Increment and salary is somewhat fix
0,NCS,,3.0,Salary,Software Engineer,Singapore,Slow pace jobs for people who want to chill,Might get a bit too boring
0,NCS,,3.0,Okay,Database Administrator,Singapore,Exposed to a lot of projects.,Poor increment. Small projects but multiple projects.
0,NCS,,4.0,-,Software Engineer,Singapore,"good experience, helpful and talented colleagues",lack of work life balance
0,NCS,,3.0,not recommend,Software Engineer,Singapore,"stable, environment not bad, be able to learn some new techs","ur performance review is based on your race and your age. PMs will make you take all the responsibility if you are junior. No respect in work, PMs do not treat you like men and no bonus."
0,NCS,,3.0,not recommend,Software Engineer,Singapore,"stable, environment not bad, be able to learn some new techs","ur performance review is based on your race and your age. PMs will make you take all the responsibility if you are junior. No respect in work, PMs do not treat you like men and no bonus."
0,NCS,,5.0,-,Software Engineer,Singapore,Ok Good Fine Suitable for Fresh Grad,Low pay increment Unreasonable task
0,NCS,,2.0,Good place to upskill and be exposed to real time programming work,Software Developer,"Ang Mo Kio New Town,",- Full-stack - Exposed to various technologies - Work with different clients on different requirements - Work-life balance - Helpful and supportive team environment (varies),"- Team environment can vary, if you are lucky, you will have a good team lead and manager - Security implications can hindle work (maybe 10 mins work can lead to 1 hour because of all the security restrictions) - Older technologies for some projects - Lower pay despite brand new image in competition - High turn over rate because company values new employees than existing employees."
0,NCS,,4.0,Good Work Culture,Software Engineer,Singapore,Good work environment overall in team.,Not much to mention as per my notice.
0,NCS,,4.0,Good,Software Developer,Singapore,Salary is at market rate,"Long work hours, no work life balance"
0,NCS,,4.0,normal,Software Engineer,Singapore,friendly teammate friendly manager not much ot,"low salary, old tech stacks"
0,NCS,,4.0,Nucleus 2.0,Software Developer,"Bedok New Town,","Joined Nucleus 2.0, training provided, good pay, decent location","Working environment is only decent, not great, working location depends on which project you are posted to"
0,NCS,,2.0,"No work life balance, poor managemen",Seniour Software Engineer,Singapore,"Decent Salary, opportunity to be a perm employee","Too much work pressure, known for bad work culture and management"
0,NCS,,2.0,Good place to get training and upskill,Senior Software Engineer,Singapore,"- Company is supportive on providing training for upskilling like Azure or AWS. But also depends on the project if the manager approves you go training or not. Some managers think your training is irrelevant to the project and might not approve. - Also depends on the project, company is supportive on project transition, but only if your current project manager ok with it. - Career manager is caring.","- Performance evaluation is very ambiguous and unfair. Based on which project you are in and your relationship with your project manager. Some people who perform so so, come late and go home on time can get same or better performance rating than those who need to handle a lot workload, work overtime, and traveling to-and-from client site. - Was in a maintenance project, need to stand by support during the weekends and no there was off-in-lieu, even if issues happen and you have to work during the weekends. The managers think it's your duty. - The managers have no clue what and how the team is actually doing. They are totally layman. Even if got issues they cannot help and solve. All they know is project margin, budget, timeline, what is the issue severity, can issue severity be downgraded so that no need to escalate, what to report to the higher management, meeting and micromanagement. - Some managers want to save project budget, instead of hiring new people, they ask you to work in two projects. They say 20% 80%, but actually you have to work 100% 100%. I mean, seriously, how do you measure works in 20%80%? - Company and projects want to save cost. A lot of time needs to work with offshore team in India. Hard to communicate and collaborate with them especially in government projects, a lot of constraints sharing project knowledge with them."
0,NCS,,4.0,Great work life balance,Software Developer,Singapore,"Slow pace, great work life balance.",Environment to settle and not to progress fast.
0,NCS,,3.0,Great place when you are old,Software Engineer,Singapore,"Balance, friendly team members and leader","Few bonus, tech level cannot keep up with the latest, can't really improve your career."
0,NCS,,4.0,Software Engineer at NCS,Software Engineer,Singapore,Good for starting your career.,Gets stagnant over time and growth is slow.
0,NCS,,4.0,Review,Software Engineer,Singapore,"All government agency work, not bad","pay is little, and really depends on the project assigned."
0,NCS,,4.0,Overall okay but low increment,Software Engineer,Singapore,Progressive career Good starter salary,The increment not really good
0,NCS,,3.0,Na,Software Engineer,Singapore,"Nothing to share , not much advantages compare to other company",Bonus less than 1 month
0,NCS,,5.0,No for now,Staff Software Engineer,Singapore,good working environment and work-life balance.,I have no idea about this one.
0,NCS,,5.0,Good Work Life Balance,DevOps Architect,Singapore,Good work culture Lot of benefits for full time perm staff,Nothing as of now in my current role
0,NCS,,2.0,Bad management,Cloud Engineer,Singapore,Colleagus are Good receive a lot help from senior,Treat experence engineer as fresh engineer for senior workload
0,NCS,,4.0,Good place to start,Software Engineer,Singapore,Stable job Good place to start,No cons at the moment
0,NCS,,3.0,Not bad need more growth,Software Development Engineer In Test (SDET),"Ang Mo Kio New Town,",Get to learn many opportunities,Pay scale could be better
0,NCS,,5.0,Good company,Software Engineer,Singapore,guided with good mentors and knowledgeable project managers even if you have no previous work experience in the field,"If you are not resourceful enough and shy to ask for help, this job is not for you"
0,NCS,,5.0,Best org,Devops Engineer,Singapore,provide onsite opportunity good benifits birthday leave marriage leave marriage and baby birth gift,Onsite compensation need to increase
0,NCS,,4.0,Good starting place for an IT career,Lead Cloud Engineer,Singapore,Exposure to different technologies and environments,Some projects can be rather demanding and too fast paced.
0,NCS,,2.0,About ncs,Software Engineer,Singapore,Good place to learn about soft skill and start your tech journey,You don get to choose the project that you have interest
0,NCS,,3.0,bad reputation and high turnover rate,Software Engineer,Singapore,"As it is a big company, depending on your assigned project, you can have great work life balance. Seniors i was assigned to were very helpful.",Company reputation is widely known to be bad. I have colleagues that have projects in other locations that have terrible work life balance and numerous OT. Turnover rate is high as employees usually leave between 1 year or less.
0,NCS,,3.0,Good company to enter if you are new in industry,IT Infra Engineer,Singapore,Going through a transformation Have a nice newly renovated HQ office High likely no retrenchment,Depends on which project some might be quite tough and no growth Don't expect
0,NCS,,1.0,Stepping stone,Software Engineer,Singapore,Stepping stone for entrance to software Eng job,Work environment sucks and not nice
0,NCS,,4.0,"Work and People are Good, Low Salary",Devops Engineer,Singapore,Manageable work but depends on team Manager does not micro 2 day WFH,Low salary and bonus Have to OT some days 3 days WIO
0,NCS,,3.0,Decent company,Software Engineer,"Ang Mo Kio New Town,",Can't really recall it was a year ago.,Need better planning for new intakes.
0,NCS,,4.0,Work environment,Software Engineer,Singapore,Good Team and supportive environment,Nothing specific to comment about it
0,NCS,,4.0,Overall ok,Technical Lead/Solution Architect,Singapore River,Flexible Good people culture Good benefits Good training opportunities,Too much politics Overly heavy management level
0,NCS,,3.0,Great for freshies. Progressive leadership.,Software Enginner,Singapore,Great place to start work,"Challenging work, yet incredibly fulfilling"
0,NCS,,3.0,poor work life balance,Senior Software Engineer,Singapore,Bonus at the end of year Latest technologies,Poor work life balance Poor project planning
0,NCS,,3.0,Lots of OT,Software Engineer,Singapore,Dress down day every day,"OT almost every day, colleagues not very friendly"
0,NCS,,5.0,Good Company,Senior Cloud Engineer,Singapore,Leave policy is good. Managers are helpful. Resourcefulness and multiple projects.,I see none as of now.
0,NCS,,3.0,Work too rush,Software Engineer,Singapore,You can learn fast in NCS,The project is on fire when you being assigned to that project normally
0,NCS,,3.0,Retirement life,Wintel Engineer,Singapore,Easier life Relax No Challenge,Routine Job No new learning
0,NCS,,4.0,engineer,Cloud Engineer,Singapore,good as a stepping stone many training given,has a bad rep but will take time to improve its rep
0,NCS,,3.0,Both good & bad,Software Engineer,Singapore,Team enviornment is great. Good opportunities for professional growth,Annual increment is quite low
0,NCS,,2.0,Depends,Engineer,"Tampines New Town,",Nothing much to say on this section perhaps from my projects POV,Most of the new hires have 0 knowledge on Tech related stuff.
0,NCS,,3.0,just koay,Software Engineer,Singapore,life balance if project is nice,low increament for salary unlessgot promotion
0,NCS,,4.0,Review,Senior Software Engineer,Singapore,Yearly annual salary wage review Flexi dollars available,"Depends on projects, workplace could be toxic"
0,NCS,,3.0,Fresh graduation friendly,Software Engineer,Singapore,"chance to learn lot thing. if you need to be spoon feed with everything, then you will struggle.",employee that are doing maintenance project will stuck onsite until you request for a change project. Which will join more worse project. slow career growth.
0,NCS,,2.0,Worklife,Senior Cloud Engineer,Singapore,No worklife balance pay is lower than market,good for learning new techs
0,NCS,,2.0,"Good project, bad project management.",Software Engineer,"Ang Mo Kio New Town,","I got to work on a new project that uses up-to-date technologies for the implementation (NodeJS, Java (Spring Boot), AWS, microservices) with good practices (test-driven development, CI/CD pipeline). Basically, if you're new to the industry, you get to gain a lot from it. Although, it depends on the project you're attached to.","Bad project management (i.e. over-promising deliverables, bad planning, incomplete requirements gathering), leading to incomplete/incorrect information for developers to work on, with constant pressure from management to deliver results (due to assigning too much work for each sprint)."
0,NCS,,1.0,Not worth the effort,Software Engineer,Singapore,"Stable environment, for people who like to take instructions and follow a regulated environment.","freedom, stay away from this company because most of their projects are government related, customer has the last say, be it right or wrong. NCS is always a vendor and will not defend thier employees. The salary is below market rate."
0,NCS,,4.0,Not bad,Cloud Engineer,Singapore,Flexible working schedule with MNC level benefits,Lack of growth opportunities m
0,NCS,,4.0,Good place to start out for individuals with no experince,Software Engineer,Singapore,"Depending on your project, you will have sufficient time to learn on the job.",Salary and bonus structure is comparatively lower as compared to other companies.
0,NCS,,5.0,Good,Software EngineerSenior,"Bedok New Town,",Good work and good place,None none none none none
0,NCS,,4.0,"Not bad, but as a subcom thing need to rush",Product Engineer,Singapore,team environment is not bad,work as a sub com need to rush and satisfy customer
0,NCS,,4.0,"Not bad, but as a subcom thing need to rush",Product Engineer,Singapore,team environment is not bad,work as a sub com need to rush and satisfy customer
0,NCS,,2.0,Too much OT,Software Engineer,Singapore,Able to learn new skills,A lot of overtime and workload
0,NCS,,5.0,a positive experience,Cloud Engineer,Singapore,- Opportunities to learn and upskill via their e-learning platform & subsidised professional training - Friendly colleagues and a good boss - HR made an effort to make free mental health resources (apps & therapy) available to all staff,- Interview process could have been more professional (they could have turned their on cameras and they could have been a bit stricter on who they accepted) - Processes within my team were a little messy - Team was too small and therefore we felt overwhelmed with work.
0,NCS,,4.0,"Good training opportunities, poor work-life balance",Software Engineer,Singapore,They provide a chance for further education (diploma/bachelors/masters) without being bonded,"Work-life culture depends on the project assigned, some can be quite bad"
0,NCS,,5.0,wonderful place to work,Cloud Engineer,Singapore,"Good environment, friendly team work",More working hours Average pay scale
0,NCS,,4.0,Uat Tester,UAT Tester,Singapore,At amk. After work lots of place to eat,Generally quite okay career progression could be better
0,NCS,,1.0,Bad,Software Engineer,"Ang Mo Kio New Town,","Good colleague, benefits and environment","Bad management, worse to work as not sure what role will get in different project. Role depend on what it need but wont tell begore u start to work on the project even ur role as software engineering"
0,NCS,,5.0,Good HR Policies & job Opportunity,Data Engineer,Singapore,Good HR policies. Many project opportunities. Management cares for employees.,Nothing as such but not sure about promotion.
0,NCS,,4.0,What you learn + Your Workload are strongly dependent on project,Software Engineer,Singapore,"What you learn and your workload are strongly dependent on the project group that you enter. Able to learn a lot of useful skills if you enter a project that is newly created, or that your superiors want to assign to you tasks that allow you to learn latest tech skills",Lack of work life-balance in some projects that I entered
0,NCS,,5.0,good company,Senior Applications Engineer,"Ang Mo Kio New Town,","good boss good colleague, many thing to learn","low pay, long hour and low increment"
0,NCS,,4.0,Good Work Environment,Software Engineer,"Ang Mo Kio New Town,",constant skill upgrading. good work-life balance.,Pay is not so competitive compared to market rate
0,NCS,,4.0,Good worklife balance,Software Engineer,Singapore,It provides a good wirklife balance with good managers.,Some projects can be more demanding and would require you to work overtime
0,NCS,,3.0,Working in NCS,Software Engineer,Singapore,"Good start for freshers, lots of learning opportunity, good work culture and team",sometimes work life balance is not good
0,NCS,,1.0,Overworked,Engineer,"Ang Mo Kio New Town,",Many benefits and discounts. Nice office.,"247 standby, no life work until die"
0,NCS,,2.0,Don't bee fooled by the marketing,Software Engineer,Singapore,Good starting point if it is NOT a maintenance project,Sales team always thinks that paying $1 can achieve $10 worth of items.
0,NCS,,4.0,Software Engineer,Senior Software Engineer,Singapore,"Like my current team. If in doubt, I can always approach seniors and my manager.","As it is first time working for a large company like NCS, I have to learn so many things and understand how the organisation operates."
0,NCS,,4.0,Good Intern Place,NLP Engineer Intern,"Ang Mo Kio New Town,","Good pay, Chill, Grea work place",Not involved in real operations
0,NCS,,4.0,Work life balance,Cloud Engineer,"Clementi New Town,","Work life balance, able to leave work on time","Standby 24/7 for operations, pay relatively low, little communications with superiors"
0,NCS,,1.0,SE 4.5 yrs at Nucleus,Software Engineer,Singapore,Learn a lot of technical knowledge,Bad RO will lead to zero bonus and you get 12 months pay for 13 months work since there's 52 week in a year.
0,NCS,,4.0,good company,Sr. Software Engineer,Singapore,Good work life balance and colleauges,some time need to do multi tasks in less time
0,NCS,,4.0,Good training ground,Solution Architect,Singapore,Good training ground exposed staff to all heirarchy of stakeholders,too many level of reviews
0,NCS,,4.0,Salart,Software Engineer (Pega Developer),"Ang Mo Kio New Town,",Pretty good work life balance,Progression and pay raise is slow and bonus is very very low
0,NCS,,5.0,Opportunity to improve,Software Engineer,Singapore,Competitive salary and benefits. Positive recognition from the management Opportunity to improve,Less work life balance sometimes
0,NCS,,3.0,True to other reviews in Glassdoor,Software Engineer,Singapore,"Entry-level software engineer, with possibility of engaging clients while coding.","Poor pay, management in general is lazy and unappreciative."
0,NCS,,3.0,Work environment,Software Engineer,Singapore,- Decent salary - Work life balance,- Senior are not very helpful have to figure out everything yourself
0,NCS,,5.0,Company Environment and Benefits,Software Engineer,Singapore,1. NCS offers courses to its staff to keep their knowledges up to date. 2. Good for entry level 3. Everyone is friendly.,1. Have to serve at least 1 year in NCS to join the courses.
0,NCS,,4.0,Agile and getting better,Cloud Consultant,"Ang Mo Kio New Town,",Loads of seniors to guide and help,Abit slow to adapt to new trends
0,NCS,,4.0,Good place to start,Cloud Engineer,Singapore,Opportunities to learn and develop Ok salary,Ok salary Job scope can be ambiguous
0,NCS,,1.0,Poor environment,Software Engineer,Singapore,Good for fresh graduates as it is easier to get in compared to other companies Provide courses for self-improvement Opportunity to challenge yourself due to high turnover rate,"Lousy HR, doesn't respond to emails and is always ghosting job candidates. HR does not seem to know their job well. When asking HR questions, HR always gives useless answers or direct the questions to other staff. Was told to get a credit report from the Credit Bureau and the cost of getting the report ($6+) will be reimbursed back to me when I receive my first paycheck. However, the amount did not reimbursed back to me. Had to ask HR personally for a mere $6 and took me 1 - 2 weeks before I get an answer from HR. Poor management, management does not know how to retain staff No work-life balance, but this depends on the project No bonus or increment even if performance is good. Bonus and increment are given depending on how well the project is doing Lack of manpower, high turnover rate but no replacement Difficult to get promoted"
0,NCS,,4.0,Great People and Environment,Software Engineer,Singapore,"Everyone will help one another, friendly colleagues",Depends on your project you may have to OT
0,NCS,,4.0,Great People and Environment,Software Engineer,Singapore,"Everyone will help one another, friendly colleagues",Depends on your project you may have to OT
0,NCS,,4.0,Fresh graduate,Software Engineer,"Ang Mo Kio New Town,",Well structured and decent salary,Highly dependent on project assignment
0,NCS,,3.0,Good place for fresh grads,Software Engineer,"Ang Mo Kio New Town,",Graduate programme offers good learning opportunities,Long working hours depending on the project you get
0,NCS,,4.0,Great Place to work,Application Engineer,Singapore,Challenging Projects Good Mangement Great Place to work,Less Hikes Minimum bonus Less Compensation
0,NCS,,3.0,Not too bad,Product Engineer,"Ang Mo Kio New Town,","Flexible working hours, remote working","Not much challenges, lousy food"
0,NCS,,5.0,Great Work Culture and work life balance,Software Engineer,Singapore,"The team is supportive and helpful, great company",Cannot think of any at the moment.
0,NCS,,5.0,Good start for a fresh graduate.,Software Engineer,Singapore,"Good place to start a first job. Like the structured nucleus programme, the fact that the work I do makes a difference, and the many opportunities that a large company like NCS offers me.",Challenging and hard work but good learning opportunity for me since this is the first job.
0,NCS,,2.0,NCS,Senior Engineer,"Bedok New Town,",Can learn from peers who had more experience.,Too much workload for those in Technical Support.
0,NCS,,5.0,Fresh Graduate Intake,Software Engineer,Singapore,The team is supportive and helpful,The work culture varies according to the team
0,NCS,,5.0,Great Work Culture and work life balance,Software Engineer,Singapore,"Great team, Good tech stacks with Work-life balance","No Cons so far, All good"
0,NCS,,4.0,Lots of trainings for Nucleus Graduate Program,Software Engineer,Singapore,"- free training with NUS ISS, NCS - quite great insurance for fresh grad",- pay is just okay
0,NCS,,4.0,NA,Database Administrator,Singapore,Good to Learn for new comers,Very stressfull and will be called any time
0,NCS,,4.0,Good for starting a career,Software Engineer,Singapore,- Good for fresh graduates,- Limited growth and highly dependent on the project
0,NCS,,3.0,App consultant,Software Engineer,Singapore,"High salary, trying to compete with the industry average",Long working hours based on project
0,NCS,,4.0,comparably good si company,Software Engineer,"Ang Mo Kio New Town,","Good colleagues, stress level is based on the project you are in","Slow career progression, no choice to change project"
0,NCS,,4.0,good for starters,Software Developer,Singapore,"able to learn many new things, many opportunities","overworked, low salary for the long hours"
0,NCS,,4.0,Good culture,Solutions Architect,Singapore,Good environment. Given autonomy to manage and lead.,Too much focus on public sector. Little exposure to modern tech depending on your role.
0,NCS,,3.0,Good for fresh grads,Software Engineer,Singapore,Good place to start for fresh grads. But performance bonus is really luck based as it depends on the projects you are working on,Not a good place to stay even though they offer a 5 years Master program.
0,NCS,,4.0,Great Place to learn,Senior Applications Developer,"Ang Mo Kio New Town,",Good bonus if you work harder,sometime work life no balance
0,NCS,,4.0,"Interesting company, doing a lot of meaningful and cutting edge work in research",Computer Vision Intern,Singapore,"Flexible arrangements for intern, good work-life balance as an intern","During the start of the year, several people were leaving"
0,NCS,,4.0,Software Engineer,Software Engineer,Singapore,- Good package. - opportunities to gain experience in software development.,- not a good option for work-life balance.
0,NCS,,2.0,Join if you are a workaholic,Software Engineer,Singapore,- Friendly colleagues - Some opportunities to learn new skills,"- Long working hours, underpaid - High expectations - Contacted outside of office hours frequently"
0,NCS,,3.0,Application Consultant (Nucleus),Software Engineer,Singapore,"Decent-ish working culture (though this is project and team dependent), and interesting perks.",What you learn in bootcamp generally doesn't translate into the work you do during projects as the projects' tech stacks tend to be more dated. Being strong-armed into software engineering primarily is also not a good thing to face.
