,Unnamed: 0,company_name,date_posted,rating,review_title,job_position,job_location,pro_review,con_review,pro_score,con_score,rating_score,weighted_score,work_life_and_flexibility_job_aspect_score,career_development_and_learning_job_aspect_score,compensation_benefits_and_security_job_aspect_score,culture_and_environment_job_aspect_score,management_and_communication_job_aspect_score,diversity_and_inclusion_job_aspect_score,employee_engagement_and_satisfaction_job_aspect_score,operational_efficiency_and_resources_job_aspect_score,innovation_and_strategic_vision_job_aspect_score,global_impact_and_social_responsibility_job_aspect_score,job_position_category
20,0,NCS,,3.0,Stable Job but slow progression,Software Engineer,Singapore,"Job is pretty stable, working hours are dependent on assigned project, it's possible to have some form of work life balance","Progression is slow, work is project based so many things depend on what project you're assigned to. Projects on fire or with bad management can be tough to work in, you will learn a lot and might have minimal guidance and cover many tasks outside of being a software engineer, but it is a learning experience regardless.",0.6597,-0.4939,0.0,0.04144999999999999,0.6597,-0.4939,,,-0.4939,,,,,,software_engineer
21,0,NCS,,5.0,Good Company for learning different technologies,Senior Software Engineer,Singapore,"You can learn different technologies if you are interested Since NCS has most of the Singapore government IT projects, we have a good chance to up skills up to the market.","According to my view, no Cons about the company.",0.765,-0.296,1.0,0.61725,,,,,,,,,,,software_engineer
22,0,NCS,,4.0,Good to learn things,Software Engineer,Singapore,- friendly colleagues - competitive pay - multiple projects to learn coding skills,- might ot sometime - bonus can be better,0.5423,0.7506,0.5,0.573225,,,1.2929,,,,,,,,software_engineer
24,0,NCS,,3.0,NCS,Software Engineer,Singapore,-Is a good company to learn -Colleagues are very helpful and have learnt a lot from my seniors -Free master course,"-Salary does not match the amount of work/projects being assigned. -You may have a title of software engineer, but performing 3 different roles. (Business Analyst, Developer, Tester) -Increment and bonus are little. -Whether you can attend the master course depends on your workload or PM.",0.8516,0.6956,0.0,0.38680000000000003,,,0.6956,,,,,,,,software_engineer
25,0,NCS,,3.0,Decent depending on project,Software Engineer,Singapore,"Decent benefits, team members, and food provided.","Less communication, no team bonding, and awkward vibes overall.",0.3818,-0.3657,0.0,0.004024999999999987,,,0.3818,,-0.3657,,-0.3657,,,,software_engineer
26,0,NCS,,3.0,Base salary,Software Engineer,Singapore,-Good work-life balance if you are in the right project -Flexible working arrangement,-Low pay -Slow progression -Almost no bonus,0.5859,-0.0478,0.0,0.134525,0.5859,-0.0478,-0.0478,,,,,,,,software_engineer
27,0,NCS,,3.0,Average company,Devops Engineer,Singapore,"everything that you ever imagine is average here, from benefits to lunch options to working with average people. wfh for 1/2 days depending on team weekly.","work culture is not great at all, expect to OT a lot. a very typical singaporean company that tries to be a modern tech company but fails very badly in doing so. there is mistrust between employees across the hierarchy. overall, there's a sense of micromanagement and generally do not feel great working there. good to check out forums on NCS before applying, most of what is written there and on here is mostly true.",0.3818,-0.8088,0.0,-0.10675,,,0.3818,-0.8088,-0.8088,,,,,,dev_ops_engineer
28,0,NCS,,3.0,ok,Software Engineer,Singapore,decent pay and good colleagues,very little to no worklife balance,0.3612,-0.2927,0.0,0.017125,,,0.3612,,,,,,,,software_engineer
29,0,NCS,,2.0,Decent first job,Software Engineer,Singapore,"Decent starting pay, decent working environment",Career growth severly limited and entirely based on project you are assigned to. Low salary increment(1%) at the time of writing,-0.1027,-0.1027,-0.5,-0.30135,,-0.1027,-0.2054,,,,,,,,software_engineer
30,0,NCS,,3.0,Good place for learning and leaving,Software Engineer,Singapore,Good colleagues Exposure to production work early on If you can learn fast on your own it is good for you,Bad pay and unwillingness to pay you fairly,0.7003,-0.6486,0.0,0.01292500000000002,,,-0.6486,,,,,,,,software_engineer
31,0,NCS,,4.0,Not a place crowed with talented people,Senior Software Engineer,Singapore,Good entry for fresh graduate,Talent density not high could lead to projects not well managed.,0.6369,0.2467,0.5,0.4709,,,,,,,,,,,software_engineer
32,0,NCS,,3.0,No career prospect,Software Engineer,Singapore,Worklife balance and better than average benefits,"Low bonus, low pay. Little to no career advancemenr",0.6705,-0.2551,0.0,0.10385,,,0.4154,,,,,,,,software_engineer
33,0,NCS,,5.0,Had a positive experience working in NCS,Senior Software Engineer,Singapore,I have had a positive onboarding experience with the team and the team was welcoming and helpful.,No negative things until now,0.8519,-0.7096,1.0,0.535575,,,,,,,,,,,software_engineer
34,0,NCS,,2.0,Performance appraisal lacks proper structure and transparency,Software Engineer,Singapore,Good for newcomers struggling to find a job,"Pay is below market rate Hardwork doesn't amount to anything if you aren't visible or in bosses good shoes Management are not clear on what is happening on the ground and too fixated on meeting timeline rather than delivering a quality product Attrition rate is extremely high due to poor environment, wellfare and culture.",0.0258,-0.4184,-0.5,-0.34815,,,-0.4184,-0.4184,-0.4184,,,,,,software_engineer
35,0,NCS,,4.0,Good for career starter,Cloud Executive,"Ang Mo Kio New Town,","Opportunities to learn, broad range of technology, many chances to up-skill.","Lower salary range, project dependent.",0.5267,-0.296,0.5,0.307675,,,-0.296,,,,,,,,cloud_engineer
37,0,NCS,,1.0,LEAVE! Company severely underperformed FY23,Software Developer,Singapore,Easy entry for early graduates.,"1. No trainings 2. Promises on masters (nucleus) is a lie 3. Slavery and OT culture 4. Immediate termination on the spot (i have seen 3-5 colleagues getting fired for the tiniest reasons (got caught taking tea break, etc) 5. Bonus less than 1 month + pay increment less than 2% 6. No salary negotiable upon permanent conversion (HR says sorry must be standardize across regardless of performance.) 7. You have a director that says this kind of stuff ""Do you think I spend my personal money for all these work dinners for nothing? I want the team to gel together and work even harder and smarter than before."" when you chose not to come to their ""voluntary"" team sessions. 8. Lost most their projects and tenders, etc. 9. Extremely secluded area with no valid dining places. Their canteen have effectively 1 STALL only where you can queue up to 40 minutes with 200~ people who WFO queuing.",0.4404,-0.784,-1.0,-0.5859,,-0.784,-0.784,-0.784,,,,,,,software_engineer
38,0,NCS,,3.0,Nice Environment,Software Engineer,Singapore,"Good Work Culture, Work Life Balance",No Career opportunities within organization,0.4404,0.1027,0.0,0.135775,0.4404,,,0.4404,,,,,,,software_engineer
39,0,NCS,,4.0,"Best local company with Global vision , Great culture and learning",Sr. DevOps Software Engineer,Singapore,"Company has good culture and cares about people. People are treated fairly and respected for what they do. NCS has partnership over 100 tech companies which gives you an opportunity to explore free learnings and upskill. Has many different department like Cloud DevOps , App development and it's easy to move between dept. Great potential to grow yourself individually.",Since it's a service based company sometimes you may not be in desired project/technology but you have an option to explore and discuss with your manager.,0.9738,-0.1045,0.5,0.467325,,,,0.9738,,,,,,,software_engineer
40,0,NCS,,2.0,30/70,Cloud Engineer,Singapore,"Free training & certs, work life balance, no stress, assigned to projects you cannot choose","No Increment, low bonus, less technical person, more political",-0.1779,0.0516,-0.5,-0.281575,-0.1779,-0.1779,0.0516,,,,,,,,cloud_engineer
42,0,NCS,,2.0,High turnover rate due to poor management and poor pay structure,Software Engineer,Singapore,Good stepping stone for fresh graduates to enter IT industry.,Management have poor foresight and planning. Always waiting for issues to happen instead of fixing them directly. Poor pay structure results in newcomers being paid more than those that stayed loyal to company.,0.6369,-0.5423,-0.5,-0.22635,,,-0.5423,,-0.5423,,,,,,software_engineer
43,0,NCS,,4.0,It was ok,Software Engineer,Singapore,Supportive and good manager and good bonus,"Depends on team, insurance and benefits can be better",0.8885,0.6705,0.5,0.63975,,,1.559,,,,,,,,software_engineer
44,0,NCS,,4.0,Good Start,Software Developer,"Ang Mo Kio New Town,",Get to do various Courses,was advice not too stay too long as not to get too comfortable,0.0,0.5106,0.5,0.37765000000000004,,0.0,,,,,,,,,software_engineer
45,0,NCS,,4.0,Good Insurance,Senior Software Engineer,Singapore,Good Insurance which can cover family member,Depends on project. Might not learn much in some project.,0.4404,0.0,0.5,0.3601,,,0.4404,,,,,,,,software_engineer
46,0,NCS,,3.0,Not Many benefits,Software Developer,Singapore,Not many to be honest,Poor management Not many benefits,0.5106,-0.6467,0.0,-0.034025,,,-0.6467,,-0.6467,,,,,,software_engineer
47,0,NCS,,4.0,Developer,Software Developer,Singapore,"Great colleagues, supervisor for the department I am in is great to work with.",Project that our dept is working on is in a bad state.,0.8481,-0.5423,0.5,0.32645,,,,,0.8481,,,,,,software_engineer
48,0,NCS,,5.0,Amazing Place to meet minds alike,Software Engineer,Singapore,Friendly Environment Good Bosses Depends on Projects,No 13th Months Bonus as it's added into your pay No AWS packages,0.7269,-0.0772,1.0,0.662425,,,-0.0772,,,,,,,,software_engineer
49,0,NCS,,2.0,Company does not fit the employee to the correct role,Software Engineer,Singapore,Various gov project to join,Company does not fit the employee to the correct role,0.296,-0.2755,-0.5,-0.244875,,,,,,,,,,,software_engineer
50,0,NCS,,4.0,Bad upper mgmt,Software Engineer,Singapore,Many projects to choose from,Job is ok but upper management keeps putting pressure to keep the wallets thick,0.0,-0.296,0.5,0.176,,,,,-0.296,,,,,,software_engineer
51,0,NCS,,2.0,"Good starting stone, but should leave after a year or two",Cloud Engineer,Singapore,Flexible working environment Good starting stone,Pay increment isn’t good Not appreciated or valued OT a lot without enough compensation,0.5859,-0.3834,-0.5,-0.19937500000000002,,,-0.3834,,,,-0.3834,,,,cloud_engineer
52,0,NCS,,2.0,Review,Software Engineer,Singapore,Flexible working options. Nice office,"Political, no increments and promotion",0.5719,-0.296,-0.5,-0.181025,,,,,,,,,,,software_engineer
53,0,NCS,,5.0,Great Platform for Job seekers,Senior Software Engineer,Singapore,"It offers the following, - the collaborative and inclusive work culture - opportunities for professional growth and - a strong focus on work-life balance.",I don't have any downsides so far.,0.8176,0.0,1.0,0.7044,0.8176,,,0.8176,,,,,,,software_engineer
55,0,NCS,,3.0,Employment,Software Engineer,Singapore,Flexible working hours and locations,Increment and salary is somewhat fix,0.2263,0.0,0.0,0.056575,,,0.0,,,,,,,,software_engineer
56,0,NCS,,3.0,Salary,Software Engineer,Singapore,Slow pace jobs for people who want to chill,Might get a bit too boring,0.0772,-0.3182,0.0,-0.06025,,,,,,,,,,,software_engineer
58,0,NCS,,4.0,-,Software Engineer,Singapore,"good experience, helpful and talented colleagues",lack of work life balance,0.8402,-0.3182,0.5,0.3805,-0.3182,,,,,,,,,,software_engineer
59,0,NCS,,3.0,not recommend,Software Engineer,Singapore,"stable, environment not bad, be able to learn some new techs","ur performance review is based on your race and your age. PMs will make you take all the responsibility if you are junior. No respect in work, PMs do not treat you like men and no bonus.",0.6187,-0.0433,0.0,0.14385,,,-0.0433,,,,,,,,software_engineer
60,0,NCS,,3.0,not recommend,Software Engineer,Singapore,"stable, environment not bad, be able to learn some new techs","ur performance review is based on your race and your age. PMs will make you take all the responsibility if you are junior. No respect in work, PMs do not treat you like men and no bonus.",0.6187,-0.0433,0.0,0.14385,,,-0.0433,,,,,,,,software_engineer
61,0,NCS,,5.0,-,Software Engineer,Singapore,Ok Good Fine Suitable for Fresh Grad,Low pay increment Unreasonable task,0.802,-0.3612,1.0,0.6102,,,-0.3612,,,,,,,,software_engineer
62,0,NCS,,2.0,Good place to upskill and be exposed to real time programming work,Software Developer,"Ang Mo Kio New Town,",- Full-stack - Exposed to various technologies - Work with different clients on different requirements - Work-life balance - Helpful and supportive team environment (varies),"- Team environment can vary, if you are lucky, you will have a good team lead and manager - Security implications can hindle work (maybe 10 mins work can lead to 1 hour because of all the security restrictions) - Older technologies for some projects - Lower pay despite brand new image in competition - High turn over rate because company values new employees than existing employees.",0.5719,0.8625,-0.5,0.10860000000000003,0.5719,,0.8625,,,,,,,,software_engineer
63,0,NCS,,4.0,Good Work Culture,Software Engineer,Singapore,Good work environment overall in team.,Not much to mention as per my notice.,0.4404,0.0,0.5,0.3601,,,,0.4404,,,,,,,software_engineer
64,0,NCS,,4.0,Good,Software Developer,Singapore,Salary is at market rate,"Long work hours, no work life balance",0.0,-0.296,0.5,0.176,-0.296,,0.0,,,,,,,,software_engineer
65,0,NCS,,4.0,normal,Software Engineer,Singapore,friendly teammate friendly manager not much ot,"low salary, old tech stacks",0.7506,-0.2732,0.5,0.36935,,,-0.2732,,,,,,,,software_engineer
66,0,NCS,,4.0,Nucleus 2.0,Software Developer,"Bedok New Town,","Joined Nucleus 2.0, training provided, good pay, decent location","Working environment is only decent, not great, working location depends on which project you are posted to",0.3612,-0.5096,0.5,0.21289999999999998,,0.3612,0.3612,,,,,,,,software_engineer
67,0,NCS,,2.0,"No work life balance, poor managemen",Seniour Software Engineer,Singapore,"Decent Salary, opportunity to be a perm employee","Too much work pressure, known for bad work culture and management",0.4215,-0.6908,-0.5,-0.31732499999999997,,,0.4215,-0.6908,-0.6908,,,,,,software_engineer
68,0,NCS,,2.0,Good place to get training and upskill,Senior Software Engineer,Singapore,"- Company is supportive on providing training for upskilling like Azure or AWS. But also depends on the project if the manager approves you go training or not. Some managers think your training is irrelevant to the project and might not approve. - Also depends on the project, company is supportive on project transition, but only if your current project manager ok with it. - Career manager is caring.","- Performance evaluation is very ambiguous and unfair. Based on which project you are in and your relationship with your project manager. Some people who perform so so, come late and go home on time can get same or better performance rating than those who need to handle a lot workload, work overtime, and traveling to-and-from client site. - Was in a maintenance project, need to stand by support during the weekends and no there was off-in-lieu, even if issues happen and you have to work during the weekends. The managers think it's your duty. - The managers have no clue what and how the team is actually doing. They are totally layman. Even if got issues they cannot help and solve. All they know is project margin, budget, timeline, what is the issue severity, can issue severity be downgraded so that no need to escalate, what to report to the higher management, meeting and micromanagement. - Some managers want to save project budget, instead of hiring new people, they ask you to work in two projects. They say 20% 80%, but actually you have to work 100% 100%. I mean, seriously, how do you measure works in 20%80%? - Company and projects want to save cost. A lot of time needs to work with offshore team in India. Hard to communicate and collaborate with them especially in government projects, a lot of constraints sharing project knowledge with them.",0.9413,0.7134,-0.5,0.16367500000000001,,0.9413,,,0.7134,,,,,,software_engineer
69,0,NCS,,4.0,Great work life balance,Software Developer,Singapore,"Slow pace, great work life balance.",Environment to settle and not to progress fast.,0.6249,-0.3252,0.5,0.324925,0.6249,,,,,,,,,,software_engineer
70,0,NCS,,3.0,Great place when you are old,Software Engineer,Singapore,"Balance, friendly team members and leader","Few bonus, tech level cannot keep up with the latest, can't really improve your career.",0.4939,0.2209,0.0,0.1787,,,0.2209,,,,,,,,software_engineer
71,0,NCS,,4.0,Software Engineer at NCS,Software Engineer,Singapore,Good for starting your career.,Gets stagnant over time and growth is slow.,0.4404,0.3818,0.5,0.45555,,,,,,,,,,,software_engineer
72,0,NCS,,4.0,Review,Software Engineer,Singapore,"All government agency work, not bad","pay is little, and really depends on the project assigned.",0.431,-0.1027,0.5,0.332075,,,-0.1027,,,,,,,,software_engineer
73,0,NCS,,4.0,Overall okay but low increment,Software Engineer,Singapore,Progressive career Good starter salary,The increment not really good,0.4404,-0.3865,0.5,0.263475,,,0.4404,,,,,,,,software_engineer
74,0,NCS,,3.0,Na,Software Engineer,Singapore,"Nothing to share , not much advantages compare to other company",Bonus less than 1 month,-0.4585,0.5423,0.0,0.020949999999999996,,,0.5423,,,,,,,,software_engineer
75,0,NCS,,5.0,No for now,Staff Software Engineer,Singapore,good working environment and work-life balance.,I have no idea about this one.,0.4404,-0.296,1.0,0.5361,0.4404,,,,,,,,,,software_engineer
76,0,NCS,,5.0,Good Work Life Balance,DevOps Architect,Singapore,Good work culture Lot of benefits for full time perm staff,Nothing as of now in my current role,0.6705,0.0,1.0,0.667625,,,0.6705,0.6705,,,,,,,dev_ops_engineer
77,0,NCS,,2.0,Bad management,Cloud Engineer,Singapore,Colleagus are Good receive a lot help from senior,Treat experence engineer as fresh engineer for senior workload,0.6808,0.6124,-0.5,0.07330000000000003,,,,,,,,,,,cloud_engineer
78,0,NCS,,4.0,Good place to start,Software Engineer,Singapore,Stable job Good place to start,No cons at the moment,0.6249,-0.296,0.5,0.332225,,,,,,,,,,,software_engineer
80,0,NCS,,5.0,Good company,Software Engineer,Singapore,guided with good mentors and knowledgeable project managers even if you have no previous work experience in the field,"If you are not resourceful enough and shy to ask for help, this job is not for you",0.1779,0.1779,1.0,0.58895,,,,,,,,,,,software_engineer
81,0,NCS,,5.0,Best org,Devops Engineer,Singapore,provide onsite opportunity good benifits birthday leave marriage leave marriage and baby birth gift,Onsite compensation need to increase,0.802,0.3182,1.0,0.78005,,,0.3182,,,,,,,,dev_ops_engineer
82,0,NCS,,4.0,Good starting place for an IT career,Lead Cloud Engineer,Singapore,Exposure to different technologies and environments,Some projects can be rather demanding and too fast paced.,0.0,-0.2263,0.5,0.193425,,,,,,,,,,,cloud_engineer
83,0,NCS,,2.0,About ncs,Software Engineer,Singapore,Good place to learn about soft skill and start your tech journey,You don get to choose the project that you have interest,0.4404,0.4588,-0.5,-0.0252,,,,,,,,,,,software_engineer
84,0,NCS,,3.0,bad reputation and high turnover rate,Software Engineer,Singapore,"As it is a big company, depending on your assigned project, you can have great work life balance. Seniors i was assigned to were very helpful.",Company reputation is widely known to be bad. I have colleagues that have projects in other locations that have terrible work life balance and numerous OT. Turnover rate is high as employees usually leave between 1 year or less.,0.8016,-0.7783,0.0,0.005824999999999997,0.023299999999999987,,,,,,,,,,software_engineer
86,0,NCS,,1.0,Stepping stone,Software Engineer,Singapore,Stepping stone for entrance to software Eng job,Work environment sucks and not nice,0.0,-0.5903,-1.0,-0.647575,,,,-0.5903,,,,,,,software_engineer
87,0,NCS,,4.0,"Work and People are Good, Low Salary",Devops Engineer,Singapore,Manageable work but depends on team Manager does not micro 2 day WFH,Low salary and bonus Have to OT some days 3 days WIO,0.0,0.34,0.5,0.335,,,0.34,,,,,,,,dev_ops_engineer
88,0,NCS,,3.0,Decent company,Software Engineer,"Ang Mo Kio New Town,",Can't really recall it was a year ago.,Need better planning for new intakes.,0.0,0.4404,0.0,0.1101,,,,,,,,,,,software_engineer
89,0,NCS,,4.0,Work environment,Software Engineer,Singapore,Good Team and supportive environment,Nothing specific to comment about it,0.6249,0.0,0.5,0.406225,,,,,,,,,,,software_engineer
92,0,NCS,,3.0,poor work life balance,Senior Software Engineer,Singapore,Bonus at the end of year Latest technologies,Poor work life balance Poor project planning,0.5423,-0.7351,0.0,-0.04819999999999999,-0.7351,,0.5423,,,,,,,,software_engineer
93,0,NCS,,3.0,Lots of OT,Software Engineer,Singapore,Dress down day every day,"OT almost every day, colleagues not very friendly",0.0,-0.43,0.0,-0.1075,,,,,,,,,,,software_engineer
94,0,NCS,,5.0,Good Company,Senior Cloud Engineer,Singapore,Leave policy is good. Managers are helpful. Resourcefulness and multiple projects.,I see none as of now.,0.6705,0.0,1.0,0.667625,,,,,,,,,,,cloud_engineer
95,0,NCS,,3.0,Work too rush,Software Engineer,Singapore,You can learn fast in NCS,The project is on fire when you being assigned to that project normally,0.0,-0.34,0.0,-0.085,,,,,,,,,,,software_engineer
97,0,NCS,,4.0,engineer,Cloud Engineer,Singapore,good as a stepping stone many training given,has a bad rep but will take time to improve its rep,0.4404,0.3818,0.5,0.45555,,0.4404,,,,,,,,,cloud_engineer
98,0,NCS,,3.0,Both good & bad,Software Engineer,Singapore,Team enviornment is great. Good opportunities for professional growth,Annual increment is quite low,0.9042,-0.3384,0.0,0.14145000000000002,,,,,,,,,,,software_engineer
100,0,NCS,,3.0,just koay,Software Engineer,Singapore,life balance if project is nice,low increament for salary unlessgot promotion,0.4215,-0.2732,0.0,0.037075,,,-0.2732,,,,,,,,software_engineer
101,0,NCS,,4.0,Review,Senior Software Engineer,Singapore,Yearly annual salary wage review Flexi dollars available,"Depends on projects, workplace could be toxic",0.0,0.0,0.5,0.25,,,0.0,,,,,,,,software_engineer
102,0,NCS,,3.0,Fresh graduation friendly,Software Engineer,Singapore,"chance to learn lot thing. if you need to be spoon feed with everything, then you will struggle.",employee that are doing maintenance project will stuck onsite until you request for a change project. Which will join more worse project. slow career growth.,-0.0772,-0.1513,0.0,-0.057124999999999995,,-0.1513,,,,,,,,,software_engineer
103,0,NCS,,2.0,Worklife,Senior Cloud Engineer,Singapore,No worklife balance pay is lower than market,good for learning new techs,-0.5859,0.4404,-0.5,-0.286375,,,-0.5859,,,,,,,,cloud_engineer
104,0,NCS,,2.0,"Good project, bad project management.",Software Engineer,"Ang Mo Kio New Town,","I got to work on a new project that uses up-to-date technologies for the implementation (NodeJS, Java (Spring Boot), AWS, microservices) with good practices (test-driven development, CI/CD pipeline). Basically, if you're new to the industry, you get to gain a lot from it. Although, it depends on the project you're attached to.","Bad project management (i.e. over-promising deliverables, bad planning, incomplete requirements gathering), leading to incomplete/incorrect information for developers to work on, with constant pressure from management to deliver results (due to assigning too much work for each sprint).",0.743,-0.8481,-0.5,-0.276275,,,,,-0.8481,,,-0.8481,,,software_engineer
105,0,NCS,,1.0,Not worth the effort,Software Engineer,Singapore,"Stable environment, for people who like to take instructions and follow a regulated environment.","freedom, stay away from this company because most of their projects are government related, customer has the last say, be it right or wrong. NCS is always a vendor and will not defend thier employees. The salary is below market rate.",0.5719,0.2732,-1.0,-0.288725,,,0.2732,,,,,,,,software_engineer
106,0,NCS,,4.0,Not bad,Cloud Engineer,Singapore,Flexible working schedule with MNC level benefits,Lack of growth opportunities m,0.5423,0.4404,0.5,0.495675,,0.4404,0.5423,,,,,,,,cloud_engineer
107,0,NCS,,4.0,Good place to start out for individuals with no experince,Software Engineer,Singapore,"Depending on your project, you will have sufficient time to learn on the job.",Salary and bonus structure is comparatively lower as compared to other companies.,0.0,0.3182,0.5,0.32955,,,0.3182,,,,,,,,software_engineer
108,0,NCS,,5.0,Good,Software EngineerSenior,"Bedok New Town,",Good work and good place,None none none none none,0.7003,0.0,1.0,0.675075,,,,,,,,,,,software_engineer
111,0,NCS,,2.0,Too much OT,Software Engineer,Singapore,Able to learn new skills,A lot of overtime and workload,0.0,0.0,-0.5,-0.25,,,,,,,,,,,software_engineer
112,0,NCS,,5.0,a positive experience,Cloud Engineer,Singapore,- Opportunities to learn and upskill via their e-learning platform & subsidised professional training - Friendly colleagues and a good boss - HR made an effort to make free mental health resources (apps & therapy) available to all staff,- Interview process could have been more professional (they could have turned their on cameras and they could have been a bit stricter on who they accepted) - Processes within my team were a little messy - Team was too small and therefore we felt overwhelmed with work.,0.9001,-0.2516,1.0,0.6621250000000001,,0.9001,,0.9001,,,,0.9001,,,cloud_engineer
113,0,NCS,,4.0,"Good training opportunities, poor work-life balance",Software Engineer,Singapore,They provide a chance for further education (diploma/bachelors/masters) without being bonded,"Work-life culture depends on the project assigned, some can be quite bad",0.25,-0.5849,0.5,0.166275,-0.5849,,,-0.5849,,,,,,,software_engineer
