company_name,job_position_category,work_life_and_flexibility_job_aspect_score_freq,career_development_and_learning_job_aspect_score_freq,compensation_benefits_and_security_job_aspect_score_freq,culture_and_environment_job_aspect_score_freq,management_and_communication_job_aspect_score_freq,diversity_and_inclusion_job_aspect_score_freq,employee_engagement_and_satisfaction_job_aspect_score_freq,operational_efficiency_and_resources_job_aspect_score_freq,innovation_and_strategic_vision_job_aspect_score_freq,global_impact_and_social_responsibility_job_aspect_score_freq,pro_score_mean,con_score_mean,rating_score_mean,weighted_score_mean,work_life_and_flexibility_job_aspect_score_mean,career_development_and_learning_job_aspect_score_mean,compensation_benefits_and_security_job_aspect_score_mean,culture_and_environment_job_aspect_score_mean,management_and_communication_job_aspect_score_mean,diversity_and_inclusion_job_aspect_score_mean,employee_engagement_and_satisfaction_job_aspect_score_mean,operational_efficiency_and_resources_job_aspect_score_mean,innovation_and_strategic_vision_job_aspect_score_mean,global_impact_and_social_responsibility_job_aspect_score_mean
NetApp,cloud_engineer,1,1,0,1,0,0,0,0,0,0,0.8217,-0.5859,1.0,0.5589500000000001,0.8217,-0.5859,,0.8217,,,,,,
Nucleus Software Exports,qa_automation_tester,0,0,0,0,0,0,0,0,0,0,0.8271,0.8115,0.0,0.40964999999999996,,,,,,,,,,
Nucleus Software Exports,software_engineer,3,0,4,1,4,0,0,0,0,0,0.363775,-0.164125,-0.3125,-0.1063375,-0.07096666666666666,,0.11257500000000001,0.0,-0.125625,,,,,
Other,software_engineer,0,0,0,1,0,0,0,0,0,0,0.8727,0.3151,1.0,0.79695,,,,0.7845,,,,,,
PSA International,data_scientist_or_analyst,0,0,0,0,0,0,0,0,0,0,0.0,0.34,0.5,0.335,,,,,,,,,,
PSA International,software_engineer,2,3,1,1,0,0,0,0,0,0,0.6647666666666666,0.00783333333333334,0.5833333333333334,0.4598166666666666,0.12135000000000001,0.4315,0.7003,0.8402,,,,,,
Pactera,dev_ops_engineer,0,0,1,0,0,0,0,0,0,0,0.6369,0.0,0.5,0.409225,,,0.6369,,,,,,,
Pactera,qa_automation_tester,1,4,8,2,5,0,0,0,0,0,0.47674583333333337,-0.10982083333333333,0.22916666666666666,0.20631458333333333,-0.2732,-0.08387499999999999,0.013212499999999988,-0.3463,0.524,,,,,
Pactera,software_engineer,1,11,25,1,9,0,2,1,0,0,0.49003622047244094,0.023765354330708664,0.9291338582677166,0.5930173228346456,0.4767,0.3013272727272727,0.133596,0.7269,0.08102222222222223,,-0.46685,0.8313,,
Panasonic,qa_automation_tester,0,1,1,0,1,0,0,0,0,0,0.9001,-0.5664,0.5,0.33342499999999997,,-0.5664,0.9001,,-0.5664,,,,,
Panasonic,software_engineer,3,0,8,2,5,0,0,0,0,0,0.6074375,-0.14294374999999998,0.15625,0.19424843749999998,0.1292,,0.453975,0.13590000000000002,0.0979,,,,,
Prudential Assurance Singapore,cloud_engineer,1,0,0,0,0,0,0,0,0,0,0.25,-0.296,0.5,0.2385,-0.296,,,,,,,,,
Prudential Assurance Singapore,data_scientist_or_analyst,0,1,0,0,0,0,0,0,0,0,0.4404,0.1779,0.5,0.404575,,0.4404,,,,,,,,
Prudential Assurance Singapore,qa_automation_tester,0,0,0,2,0,0,0,0,0,0,0.72675,-0.27115,0.25,0.2389,,,,0.72675,,,,,,
Prudential Assurance Singapore,software_engineer,0,0,1,0,0,0,0,0,0,0,0.3355666666666666,0.03306666666666667,0.3333333333333333,0.25882499999999997,,,0.0,,,,,,,
Prudential Assurance Singapore,sre,0,0,0,0,1,0,0,0,0,0,-0.5423,0.4767,-1.0,-0.5164,,,,,0.4767,,,,,
Qualcomm Technologies,qa_automation_tester,0,0,0,0,0,0,0,0,0,0,0.4939,0.0,0.5,0.373475,,,,,,,,,,
Roche,qa_automation_tester,1,0,0,0,1,0,0,0,0,0,0.3141,0.0129,0.75,0.45675,0.0258,,,,0.4019,,,,,
Roche,software_engineer,0,0,1,0,0,0,0,0,0,0,0.6705,-0.3182,0.0,0.088075,,,0.6705,,,,,,,
Roche,sre,0,0,0,1,0,0,0,0,0,0,0.7717,-0.3182,1.0,0.613375,,,,0.7717,,,,,,
Rolls-Royce Power Systems,software_engineer,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.5,,,,,,,,,,
SLS Bearings,software_engineer,0,0,0,0,0,0,0,0,0,0,0.6249,0.0,1.0,0.6562250000000001,,,,,,,,,,
Samsung Electronics,software_engineer,1,0,1,1,0,0,0,0,0,0,0.5069,-0.011499999999999996,0.75,0.49885,0.765,,0.3818,0.3818,,,,,,
Schindler,qa_automation_tester,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,
Seagate Technology,dev_ops_engineer,0,0,1,0,0,0,0,0,0,0,0.5710000000000001,0.21075,0.75,0.5704375,,,0.802,,,,,,,
Seagate Technology,qa_automation_tester,3,0,2,2,3,0,0,0,0,0,0.5812333333333333,-0.08207777777777776,0.7777777777777778,0.5136777777777778,0.8618666666666667,,0.33120000000000005,0.8646,-0.08333333333333333,,,,,
Seagate Technology,software_engineer,5,3,6,2,2,0,0,0,0,0,0.5543833333333333,-0.10852777777777778,0.3888888888888889,0.30590833333333334,0.37882,0.6958000000000001,0.058483333333333325,0.852,-0.36755,,,,,
Siemens,data_scientist_or_analyst,0,0,1,0,1,0,0,0,0,0,0.21236666666666668,-0.5102,-0.16666666666666666,-0.15779166666666666,,,-0.8934,,-0.8934,,,,,
Siemens,software_engineer,1,1,1,0,0,0,0,0,0,0,0.4146666666666667,-0.13436666666666666,0.5,0.32007500000000005,-0.3412,0.0,0.8225,,,,,,,
Standard Chartered Bank,cloud_engineer,2,0,2,0,4,0,0,0,0,0,0.5962,0.08908333333333333,0.6666666666666666,0.5046541666666667,0.62955,,1.18895,,0.133625,,,,,
Standard Chartered Bank,data_scientist_or_analyst,1,1,2,0,1,0,0,0,0,0,0.28495000000000004,0.56455,0.0,0.21237500000000004,0.4927,0.2484,0.7253000000000001,,0.8807,,,,,
Standard Chartered Bank,dev_ops_engineer,1,0,2,0,0,0,0,0,0,0,0.6683666666666667,-0.2682333333333333,0.3333333333333333,0.2667,0.6486,,0.73305,,,,,,,
Standard Chartered Bank,software_engineer,12,6,25,4,7,1,0,0,0,0,0.5600571428571429,-0.03671666666666666,0.30952380952380953,0.2855970238095238,0.28305833333333336,0.48069999999999996,0.6726800000000001,0.18009999999999998,-0.11547142857142854,-0.3905,,,,
Standard Chartered Bank,sre,0,0,0,0,0,0,1,0,0,0,0.836,-0.8402,1.0,0.49895,,,,,,,0.836,,,
TD Bank,software_engineer,0,0,1,1,0,0,0,0,0,0,0.7003,0.0,0.0,0.175075,,,0.0,0.7003,,,,,,
Trading Technologies,sre,0,0,1,0,1,0,0,0,0,0,0.8481,0.8519,0.5,0.675,,,0.8519,,0.8519,,,,,
Transit Link,support_engineer,1,0,1,0,0,0,0,0,0,0,0.7506,0.0,-0.5,-0.06234999999999999,0.7506,,0.7506,,,,,,,
VMware,software_engineer,1,1,0,0,0,0,0,0,0,0,0.18184999999999998,0.1909,0.75,0.4681875,-0.296,0.3818,,,,,,,,
Veracode,software_engineer,0,0,1,1,0,0,0,0,0,0,0.9883,0.0,1.0,0.7470749999999999,,,0.9883,0.9883,,,,,,
WS Audiology,software_engineer,2,3,2,3,1,1,0,0,0,0,0.53896,0.00652,0.5,0.38637,0.80865,0.010866666666666665,0.2839,0.7474,0.1027,0.9468,,,,
Works Applications,qa_automation_tester,1,0,0,0,1,0,0,0,0,0,0.4927,0.0,1.0,0.623175,0.4927,,,,0.0,,,,,
Works Applications,software_engineer,7,4,17,4,15,1,0,1,0,0,0.4986127659574468,-0.17358297872340425,0.1595744680851064,0.16104468085106385,0.33387142857142854,0.63095,0.3073117647058824,0.715125,-0.27952666666666665,0.9184,,0.9027,,
Xiaomi,software_engineer,0,0,0,0,1,0,0,0,0,0,0.0,-0.6108,-1.0,-0.6527000000000001,,,,,-0.6108,,,,,
gumi,qa_automation_tester,0,0,1,0,0,0,0,0,0,0,0.8807,-0.5106,0.0,0.092525,,,0.8807,,,,,,,
gumi,software_engineer,0,0,1,0,0,0,0,0,0,0,0.891,-0.0516,0.5,0.45985,,,0.891,,,,,,,
