No,Title,Link,Acceptance,Difficulty,Frequency,Array,Hash Table,Two Pointers,Sorting,String,Stack,Linked List,Design,Doubly-Linked List,Math,Dynamic Programming,Sliding Window,Monotonic Stack,Tree,Depth-First Search,Breadth-First Search,Binary Tree,Union Find,Matrix,Recursion,Trie,Database,Binary Search,Divide and Conquer,Memoization,Heap (Priority Queue),Quickselect,Prefix Sum,Randomized,Enumeration,Greedy,Simulation,Backtracking,Game Theory,Counting,Bit Manipulation,Bucket Sort,Merge Sort,Queue,Data Stream
56,Merge Intervals,https://leetcode.com/problems/merge-intervals/description/,47.20%,Medium,95.56%,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/description/,54.10%,Medium,95.02%,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Number of Islands,https://leetcode.com/problems/number-of-islands/description/,58.70%,Medium,94.49%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1249,Minimum Remove to Make Valid Parentheses,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses/description/,67.30%,Medium,93.95%,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Add Two Numbers,https://leetcode.com/problems/add-two-numbers/description/,42.50%,Medium,93.65%,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/description/,42.60%,Easy,93.47%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1757,Recyclable and Low Fat Products,https://leetcode.com/problems/recyclable-and-low-fat-products/description/,89.20%,Easy,93.44%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Median of Two Sorted Arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/description/,39.70%,Hard,92.91%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,Valid Word Abbreviation,https://leetcode.com/problems/valid-word-abbreviation/description/,35.60%,Easy,92.37%,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3Sum,https://leetcode.com/problems/3sum/description/,34.30%,Medium,91.83%,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,52.80%,Easy,91.62%,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1768,Merge Strings Alternately,https://leetcode.com/problems/merge-strings-alternately/description/,79.60%,Easy,91.47%,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Group Anagrams,https://leetcode.com/problems/group-anagrams/description/,68.40%,Medium,90.94%,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781,Length of the Longest Valid Substring,https://leetcode.com/problems/length-of-the-longest-valid-substring/description/,36.20%,Hard,90.47%,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/description/,66.80%,Medium,90.47%,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/description/,43.50%,Medium,89.93%,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/description/,46.70%,Medium,89.93%,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
13,Roman to Integer,https://leetcode.com/problems/roman-to-integer/description/,60.90%,Easy,89.81%,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1291,Sequential Digits,https://leetcode.com/problems/sequential-digits/description/,65.40%,Medium,89.40%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Container With Most Water,https://leetcode.com/problems/container-with-most-water/description/,55.00%,Medium,89.19%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Reverse Integer,https://leetcode.com/problems/reverse-integer/description/,28.50%,Medium,88.65%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1235,Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/description/,54.70%,Hard,88.29%,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1420,Build Array Where You Can Find The Maximum Exactly K Comparisons,https://leetcode.com/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons/description/,68.90%,Hard,88.15%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
339,Nested List Weight Sum,https://leetcode.com/problems/nested-list-weight-sum/description/,83.40%,Medium,88.13%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Fizz Buzz,https://leetcode.com/problems/fizz-buzz/description/,71.90%,Easy,88.10%,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
560,Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/description/,43.50%,Medium,87.97%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1650,Lowest Common Ancestor of a Binary Tree III,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii/description/,79.30%,Medium,87.95%,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,K Inverse Pairs Array,https://leetcode.com/problems/k-inverse-pairs-array/description/,50.10%,Hard,87.75%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1570,Dot Product of Two Sparse Vectors,https://leetcode.com/problems/dot-product-of-two-sparse-vectors/description/,89.90%,Medium,87.75%,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
880,Decoded String at Index,https://leetcode.com/problems/decoded-string-at-index/description/,36.40%,Medium,87.64%,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/description/,40.50%,Easy,87.33%,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/,74.40%,Medium,86.97%,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2468,Split Message Based on Limit,https://leetcode.com/problems/split-message-based-on-limit/description/,43.70%,Hard,86.87%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,Remove Colored Pieces if Both Neighbors are the Same Color,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color/description/,62.80%,Medium,86.49%,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2009,Minimum Number of Operations to Make Array Continuous,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-continuous/description/,52.90%,Hard,86.18%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
661,Image Smoother,https://leetcode.com/problems/image-smoother/description/,67.20%,Easy,85.68%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/description/,54.40%,Medium,85.14%,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
169,Majority Element,https://leetcode.com/problems/majority-element/description/,64.70%,Easy,85.00%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2235,Add Two Integers,https://leetcode.com/problems/add-two-integers/description/,87.60%,Easy,84.99%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,Integer Break,https://leetcode.com/problems/integer-break/description/,60.30%,Medium,84.45%,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Second Highest Salary,https://leetcode.com/problems/second-highest-salary/description/,40.10%,Medium,84.34%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/description/,50.70%,Medium,83.80%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Spiral Matrix,https://leetcode.com/problems/spiral-matrix/description/,49.10%,Medium,83.69%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
253,Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/description/,51.20%,Medium,83.65%,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
31,Next Permutation,https://leetcode.com/problems/next-permutation/description/,39.70%,Medium,83.20%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Rotate Image,https://leetcode.com/problems/rotate-image/description/,74.00%,Medium,83.03%,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,Integer to English Words,https://leetcode.com/problems/integer-to-english-words/description/,30.50%,Hard,82.96%,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1347,Minimum Number of Steps to Make Two Strings Anagram,https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram/description/,82.00%,Medium,82.68%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1041,Robot Bounded In Circle,https://leetcode.com/problems/robot-bounded-in-circle/description/,55.60%,Medium,82.53%,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1762,Buildings With an Ocean View,https://leetcode.com/problems/buildings-with-an-ocean-view/description/,79.50%,Medium,82.42%,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"Pow(x, n)",https://leetcode.com/problems/powx-n/description/,34.60%,Medium,82.05%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1207,Unique Number of Occurrences,https://leetcode.com/problems/unique-number-of-occurrences/description/,77.00%,Easy,81.92%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935,Knight Dialer,https://leetcode.com/problems/knight-dialer/description/,59.90%,Medium,81.38%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/description/,61.50%,Easy,81.30%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,Reorganize String,https://leetcode.com/problems/reorganize-string/description/,54.50%,Medium,81.25%,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
162,Find Peak Element,https://leetcode.com/problems/find-peak-element/description/,45.90%,Medium,81.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/description/,64.10%,Easy,80.95%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Largest Divisible Subset,https://leetcode.com/problems/largest-divisible-subset/description/,45.20%,Medium,80.88%,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Power of Two,https://leetcode.com/problems/power-of-two/description/,47.70%,Easy,80.76%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2402,Meeting Rooms III,https://leetcode.com/problems/meeting-rooms-iii/description/,45.00%,Hard,80.65%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
279,Perfect Squares,https://leetcode.com/problems/perfect-squares/description/,54.70%,Medium,80.52%,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2877,Create a DataFrame from List,https://leetcode.com/problems/create-a-dataframe-from-list/description/,80.90%,Easy,80.36%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,Invalid Transactions,https://leetcode.com/problems/invalid-transactions/description/,31.10%,Medium,80.15%,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2742,Painting the Walls,https://leetcode.com/problems/painting-the-walls/description/,51.00%,Hard,80.10%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/,61.90%,Medium,79.90%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1287,Element Appearing More Than 25% In Sorted Array,https://leetcode.com/problems/element-appearing-more-than-25-in-sorted-array/description/,61.00%,Easy,79.83%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Arithmetic Slices II - Subsequence,https://leetcode.com/problems/arithmetic-slices-ii-subsequence/description/,54.60%,Hard,79.83%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
867,Transpose Matrix,https://leetcode.com/problems/transpose-matrix/description/,71.20%,Easy,79.79%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
347,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/description/,62.70%,Medium,79.71%,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1611,Minimum One Bit Operations to Make Integers Zero,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero/description/,74.40%,Hard,79.70%,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/description/,66.00%,Medium,79.60%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/description/,52.50%,Hard,79.57%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1496,Path Crossing,https://leetcode.com/problems/path-crossing/description/,62.40%,Easy,79.40%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,Move Zeroes,https://leetcode.com/problems/move-zeroes/description/,61.70%,Easy,79.30%,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Longest Consecutive Sequence,https://leetcode.com/problems/longest-consecutive-sequence/description/,47.30%,Medium,79.21%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
907,Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums/description/,37.40%,Medium,79.19%,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,Smallest K-Length Subsequence With Occurrences of a Letter,https://leetcode.com/problems/smallest-k-length-subsequence-with-occurrences-of-a-letter/description/,38.90%,Hard,79.19%,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2610,Convert an Array Into a 2D Array With Conditions,https://leetcode.com/problems/convert-an-array-into-a-2d-array-with-conditions/description/,87.30%,Medium,79.03%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,House Robber,https://leetcode.com/problems/house-robber/description/,50.90%,Medium,78.92%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,60.10%,Medium,78.86%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
68,Text Justification,https://leetcode.com/problems/text-justification/description/,43.00%,Hard,78.47%,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
387,First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/description/,62.10%,Easy,78.32%,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1531,String Compression II,https://leetcode.com/problems/string-compression-ii/description/,52.80%,Hard,78.30%,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2483,Minimum Penalty for a Shop,https://leetcode.com/problems/minimum-penalty-for-a-shop/description/,67.40%,Medium,78.30%,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/description/,74.00%,Easy,78.21%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2870,Minimum Number of Operations to Make Array Empty,https://leetcode.com/problems/minimum-number-of-operations-to-make-array-empty/description/,61.90%,Medium,78.15%,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
175,Combine Two Tables,https://leetcode.com/problems/combine-two-tables/description/,75.70%,Easy,78.02%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,55.10%,Medium,77.69%,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Design Hit Counter,https://leetcode.com/problems/design-hit-counter/description/,68.60%,Medium,77.52%,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
201,Bitwise AND of Numbers Range,https://leetcode.com/problems/bitwise-and-of-numbers-range/description/,46.80%,Medium,77.47%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
