Job Description,Tags
"Responsibilities:
Develop and implement data quality standards, policies, and procedures.
Define data quality metrics and establish benchmarks to measure and monitor data quality performance.
Conduct data quality assessments and audits to identify inconsistencies, inaccuracies, and gaps in data.
Collaborate with business stakeholders to understand data requirements and priorities.
Work with IT teams to ensure that data quality controls are integrated into data acquisition, processing, and storage systems.
Implement data quality tools and technologies to automate data profiling, cleansing, and validation processes.
Design and execute data quality improvement initiatives, including data cleansing, enrichment, and remediation efforts.
Provide training and support to end users on data quality best practices and tools.
Monitor data quality trends and proactively address emerging issues.
Serve as a subject matter expert on data quality matters and contribute to data governance initiatives.",[Licensing][Remediation][Quality Improvement][Property][GMP][VBA][Data Quality][Data Governance][Access Control][Surveillance][Actuarial Science][Digital Strategy][Audits][Screening][Manufacturing][Web Analytics]
"A system administrator is a professional who is responsible for the installation, configuration,
maintenance, and security of IT systems and networks.
• Installing and updating operating systems, software, and hardware on servers and
workstations
• Monitoring and troubleshooting system performance, availability, and security issues
• Managing user accounts, permissions, and access rights
• Implementing backup and recovery strategies and procedures
• Documenting system configurations, policies, and procedures
An IT specialist system administrator role in the areas of Wintel and middleware may require
the following additional tasks:
• Installing and configuring Wintel servers and workstations, including Windows Server,
Active Directory, DNS, DHCP, IIS, WSUS, etc.
• Installing and configuring middleware components and applications, such as Docker,
MSSQL, WebSphere Liberty, IBM PA, etc.
• Advising and supporting on system architecture design and troubleshooting
• Proactively monitoring CVE/vulnerability bulletins/notifications and performing patches
and upgrades for the Wintel and middleware components
• Supporting and resolving application incidents by checking system logs and following up
with software support if required
• Some experience in scripting languages such as Perl, Python, Bash, PowerShell, VB
Script
• Knowledge of SAN/NAS & Backup
Qualifications:
• Relevant certifications such as ITIL, MCSE, DFS, NPS, PKI, GPO, AD, II, IAT, etc.
• Knowledge of multiple clustered environments
• Knowledge of Wintel security best practices
• Ability to work independently or as part of a team",[Perl][Troubleshooting][Hardware][Active Directory][DHCP][IIS][Scripting][Windows Server][WSUS][MCSE][Python][Operating Systems][ITIL][DNS]
"An IT operator is responsible for the following tasks:
• Monitor the performance and availability of IT systems and networks onsite, using various
tools and methods
• Troubleshoot and resolve any issues or incidents that affect the IT services or operations
• Escalate complex or critical problems to the appropriate teams or vendors
• Document and report on the IT activities, events and incidents
• Perform routine maintenance and backup tasks on IT equipment and software
• Provide technical support and guidance to end users and staff
• Follow the IT policies, procedures and standards
Qualifications:
• At least two years of experience in IT operations or a similar role
• Knowledge of IT systems, networks, applications, and devices
• Proficiency in troubleshooting and problem-solving skills
• Ability to work independently and as part of a team
• Attention to detail and accuracy",[Troubleshooting][Microsoft Office][Microsoft Excel][Oracle][Network Administration][Ability To Work Independently][Administration][IT Operations][Project Management][Attention to Detail][System Administration][Communication Skills][Linux][Firewalls][Technical Support]
"Tickets escalated from Service desk - Printer / Wi-Fi / Software issue / Hardware issues / CCTV.
OEM - vendors for hardware replacement ( DELL / HP )
Shop floor specific software basic trouble shooting.
Manage vendor site visit for Hardware issues.
Hardware provision for customer end users
Help users with email activation, first time login in laptops and configure profile.
OS Installation / Software installation for Desktop / Laptops
Shop floor visits in case of P1 issues during shifts and on-call rotation during weekends
Also handle VIP End Users.
Asset Management
L1 Network and Server troubleshooting skills",[Field Service][Asset Management][Troubleshooting][Hardware][Customer Support][Laptops][Good Interpersonal Communication Skills][VIP][CCTV][Service Desk][Telecommunications][Communication Skills][Customer Service][Software Installation][Electronics][Technical Support]
"We’re looking for a Head of Enterprise to join our Cross Border team, to help grow our team across Asia.
The mission of this role is to drive business growth by growing pools of Glints hiring partners. You will be a key part of building new and scaling existing business units.

What You’ll Be Doing
Growing the business by acquiring and establishing relationships with potential hiring partners, measured by total newly acquired companies, jobs, and revenue from Enterprise clients
Cross-selling various Glints’ products and services
Collaborating cross-functionally with other teams such as Client Success, Recruiters, Product Marketing to effectively meet the company’s strategic objectives in terms of sales, profit, and growth targets

Who We Are Looking For
Min. 7+ years of working experience in leading a team in enterprise B2B sales and/or account management
Proven track record of exceeding or achieving high individual targets in terms of closing deals and gaining revenue, either in sales, account management, or a similar function
High attention to detail, with a process-driven and solution-oriented mindset
Demonstrated track record of career excellence and in leading a team to success
A positive attitude
A good command of English

Let’s Realise Human Potential.
We are building the #1 tech-enabled recruitment platform in Greater Southeast Asia that helps people build their dreams by joining great organisations, learning the right skills and building great teams.
We have impacted many lives but there’s still plenty to be done. If you’re ready to grow and make an impact, you’ve come to the right place.

What is Glints?
Glints is an online talent recruitment and career discovery platform with an enduring purpose of contributing to a world where people and organisations can realize their human potential.
Our tech-enabled approach to recruitment and career discovery connects more than 1.5 million candidates to their next dream opportunities, has supported more than 30,000 companies in finding top talents, doubled recruiter efficiency, and has raised more than US$30M+ from best venture investors in Asia to date.

Our agility and firm hold on our core purpose and values have allowed us to remain resilient and thrive through tumultuous times.
We are proud to be recognized by LinkedIn as one of the Top 10 Startups in Singapore in 2020.

Who We Are
At Glints, personal and professional growth are just as important as business growth. That's why we created the Glints Culture Code: #RIIBCOH. It defines our values, is what guides our decisions and actions, and is what makes us special.
#RIIBCOH:
Relentlessly Resourceful: Whatever it takes, just make it happen (ethically)
Integrity: Have courage, be guided by the truth, don’t be afraid
Impact: Missionaries, not mercenaries
Beginners’ Mindset: Stay humble, don’t be attached to ego
Customer Obsessed: Customers First
Ownership: Care intensely about the mission and take responsibility
High Standards: Dream big and deliver epic outcomes fast

Where we work
Since Glints was founded in Singapore in 2013, we've rapidly grown our footprint across Greater Southeast Asia to operate in Indonesia, Singapore, Vietnam, Taiwan and Malaysia.

Learn more about Glints and our culture at bit.ly/glintsculture.",[Vendor Management Experience][Account Management][Product Marketing][Architectural][Architects][Private Banking][Selling][Business Strategy][B2B][Attention to Detail][Enterprise Architecture][SaaS][Information Architecture][Regulatory Requirements][Technical Leadership][LinkedIn]
"About the role:
Work closely with product management and engineering, providing design perspective to help ensure a unified and cohesive experience across the investment ecosystem.
Conduct user needs assessment, task analysis, and develop user profiles; identify key tasks for user research, competitive analysis, user testing, and develop usability plans.
Develop high-level task flow content and use storyboards and other design documents to communicate concepts and vision to others.
Develop UI layouts including controls, labels, and graphical elements for software on both mobile and desktop platforms with an eye towards experience unification.
Create end-to-end detailed design deliverables as a series of experience maps, storyboards, wireframes, and interactive prototypes.
An inspiring portfolio showing how the candidate has researched and crafted great experiences, and seeing them through to released products.
Your background:
Ability to understand and distill complex problems into elegant, informed solutions.
Ability to articulate and champion design solutions based on user-centered design principles and incorporating research data.
Expert with design tools (e.g. Figma, Sketch, Adobe XD) to produce wireframes and high-fidelity interactive prototypes.
Experience working in an iterative and agile development environment.
Excellent teamwork and communication skills to effectively collaborate with multi-functional and multi-disciplined teams.

EA License Number : 11C4879",[Competitive Analysis][Designer][Wireframes][Usability][Labels][UI][Product Management][Usercentered Design][User Research][Information Architecture][Task Analysis][Articulate][Adobe XD][UX][Agile Development]
"This role is supporting a new middle office operations platform to perform finance journal posting and business operations workflow.

Requirement:
Able to collaborate with stakeholders to understand business requirements and translate them into technical solutions.
Experience in designing scalable and robust .NET Core applications with an event-driven architecture.
Able to lead the design and implementation of event-driven systems using technologies like Apache Kafka, RabbitMQ, or Azure Event Hubs.
Experience in defining event schemas, topics, and producers/consumers.
Hands-on experience in software development, actively participating in coding, debugging, and code reviews.
Able to mentor and guide development teams in best practices for .NET Core, C#, k8s and event-driven design.
Able to architect and oversee the development of microservices-based solutions within the .NET Core ecosystem, and ensure proper service communication and orchestration.
Hands-on experience in integrating systems and designing APIs to facilitate data exchange between services, and ensure APIs are well-documented and secure.
Experience in addressing performance and scalability challenges, optimizing .NET Core applications for high throughput and low latency.
Able to collaborate with DevOps teams to ensure seamless deployment and management of solutions in Cloud environments, such as AWS, Azure, or Google Cloud.
Good in establishing coding standards, architectural guidelines, and best practices for the development team.
Able to keep abreast of industry trends and emerging technologies.
Good in creating comprehensive technical documentation, including architecture diagrams and solution blueprints.",[Code Review][.NET][Azure][AWS][RabbitMQ][Apache Kafka][Google Cloud][C#][Debugging][API][Software Development]
"Technical Consultant (M365 | SharePoint | Power Platform)
Working Hour: Monday to Thursday 8.30am to 6pm, Friday 8.30am to 5.30pm
Working Location: Pasir Panjang | Hybrid Mode
Benefits: Basic + Bonus + Excellent Staff Benefits
Responsibilities:
Work with outsourced service providers and product principals to manage the delivery, operations as well as Tech Refresh for Microsoft suite of services (M365, SharePoint, Exchange Online, OneDrive, SharePoint Online, TEAMS),·Dynamics 365 including Power BI, Power Automate and Power Platform
MS Enterprise Mobility Suite (Intune, MCAS, Azure Information Protection)
Azure Active Directory (configuring and setting up the synchronisation of on-premise AD with Azure Active Directory, federation service)
Work closely with the infrastructure architects to rationalise the technical design and ensure the solution works well with Government infrastructure, policies, standards, and security requirements.
Translate the technical solution/design into technical specifications and functional requirements.
Ensure the operations process and controls are clearly documented and operationalised.
Explore new solutions and technologies, integrate learning and recommendations for operational efficiency and continual improve of the infrastructure for better user experience.
Plan, design and support Technology refresh and migration activities for the infrastructure services.
Ensure smooth service delivery and implementation within the business context.
Understand technical, quality management and security guidelines and policies and ensure development processes and systems comply with these policy and guidelines.
Coordinate with Product Principals and System Integrators on the evaluation of technology solutions, carry out proof-of-concepts to validate and establish the appropriate solution for the business.
Manage infrastructure operations and support and ensure delivery of services meet agreed service levels.
Identify potential project risks and the implications and to recommend mitigating measures to manage the risks.
Requirements:
Degree/Diploma in Computer Science or equivalent with minimum 5 years of relevant working experience in Microsoft suite of services (M365, SharePoint, Exchange Online, OneDrive, SharePoint Online, TEAMS),·Dynamics 365 including Power BI, Power Automate and Power Platform, MS Enterprise Mobility Suite (Intune, MCAS, Azure Information Protection).
If you are excited by the above opportunity and challenges and enjoy making things happen, do apply now!
OR
Email your resume to: spwl@scientecpersonnel.com
By submitting any application or resume to us, you will be deemed to have agreed & consented to us collecting, using, retaining & disclosing your personal information to prospective employers for their consideration. Please refer to ScienTec’s Privacy Policy (https://www.scientecconsulting.com/privacy-policy) for full details. If you wish to withdraw your consent, please write to us at dpo@scientecconsulting.com.
(Note: Any resumes of job applications sent to this mailbox will not be attended as it is solely for the purpose of personal data protection related matters.)
Wyman Low
Team Lead (IHRP - CP)
Low Yong Wei (Wyman) - R1550983
ScienTec Consulting Pte Ltd - 11C5781",[Microsoft 365][Azure][Active Directory][Architects][Mobility][Technology Solutions][MS Sharepoint][Microsoft Dynamics 365][MS Dynamics][SharePoint][Consulting][Power BI][Service Delivery][Technical Design]
"ICT Executive
Working days/hours: Monday – Friday, 9am – 6.30pm
Location: [Nearest MRT - Harbourfront]
Salary: S$2.5K - S$3.5k
Job Description:
Server Administration including running backups and trouble shooting
Software/ Hardware/Network configuration and maintenance of various devices including security & privacy
Technical support to users
Website Maintenance
Requirements:
Prior experience in ICT Support preferred
Preferable to have knowledge in basic programming like HTML and C# code
Willing to learn new aspects of ICT (eg Graphics software, Database, Content Management System, Programming, Google Analytics, Cloud Server)
Resourceful to troubleshoot for different IT issues.


WhatsApp or Email me your latest resume for Immediate Interview Arrangement.

Whatsapp: +65 80231200
✉ danielw.thesupreme@gmail.com

Daniel Wong Reg No: R2095781
The Supreme HR Advisory Pte Ltd EA No: 14C7279",[ICT][HTML][Graphics Software][Content Management][Administration][Website Maintenance][Telecommunications][C#][Google Analytics][Able To Work Independently][Technical Support]
"This is a 12 months contract assigned to our client

Work Location: Newton Area
Salary Range : $3,000-$4,500

Job Description
Entry-Level Program/Project Management Representative with expertise in Business Operation Management.

Responsibilities:
1. Managing and coordinating project activities, ensuring that project goals are achieved within the given
timeline and budget;

2. Develop project plans, identify project risks, and manage project resources; communicating with
stakeholders, and ensuring that project deliverables meet quality standards; proficiency in
Business Operation Management and Program Project Management, and Supply Chain Demand
Management.

3. Develop and manage project plans, timelines, and budgets.
4. Identify and manage project risks and issues.
5. Coordinate project activities and resources to ensure project goals are achieved.
6. Monitor project progress and communicate project status to stakeholders.
7. Ensure project deliverables meet quality standards.",[Operations Planning][Missions][Budgets][Project Resources][Data Center][Workplace Safety][Landlord][Investment Banking][Root Cause Analysis][Auditing][Security Management][Vendor Management][Project Management][Disaster Recovery][Writing Skills][Performance Management]
